country	local_id	global_id	type	day	month	year	participant_age	participant_gender	participant_occupation	participant_occ_detail	participant_education	participant_edu_length	participant_school_year	participant_nationality	hh_size	hh_age_1	hh_age_2	hh_age_3	hh_age_4	hh_age_5	hh_age_6	hh_age_7	hh_age_8	hh_age_9	hh_age_10	hh_age_11	hh_age_12	hh_age_13	hh_age_14	hh_age_15	hh_age_16	hh_age_17	hh_age_18	hh_age_19	hh_age_20	class_size	work_contacts	work_contacts_nr	child_care	child_care_nr	child_relationship	child_nationality	problems	diary_how	diary_missed_unsp	diary_missed_skin	diary_missed_noskin	diary_weight	dayofweek	cnt_count
BE	99	7353	1	27	3	2006	34	F	1	7	3	12	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.8324	1	15
BE	100	7354	1	28	3	2006	46	F	3	 	3	12	 	BE	3	16	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.8875	2	8
BE	101	7355	1	24	3	2006	75	F	2	 	7	15	 	BE	2	82	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	2.285	5	4
BE	102	7356	2	26	3	2006	12	F	5	 	 	 	6	BE	3	42	45	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	19	Y	25	 	 	 	 	N	2	1	 	 	0.6754	0	11
BE	103	50036	1	25	3	2006	45	F	1	7	3	12	 	BE	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	 	 	 	 	 	N	2	1	 	 	1.3978	6	0
BE	104	7357	1	26	3	2006	62	F	2	 	7	15	 	BE	4	37	40	60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	3	1	 	 	0.7628	0	7
BE	105	7358	1	20	3	2006	54	F	6	 	7	15	 	BE	3	57	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.8367	1	9
BE	106	7359	1	24	3	2006	48	F	4	 	7	15	 	BE	3	15	20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	1	 	 	0.8875	5	8
BE	107	7360	3	25	3	2006	5	M	1	7	3	12	 	BE	4	1	31	39	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	3	1	BE	N	1	4	 	 	0.4368	6	7
BE	108	7361	1	24	3	2006	39	M	1	7	3	12	 	BE	4	9	12	38	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	30	 	 	 	 	N	1	2	 	 	1.2112	5	56
BE	109	7362	1	24	3	2006	63	F	2	 	7	15	 	BE	3	28	63	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	3	 	 	1.366	5	5
BE	110	7363	1	18	3	2006	32	M	1	8	2	9	 	BE	3	1	27	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	2	2	 	 	0.7721	6	25
BE	111	7364	1	23	3	2006	30	F	1	7	3	12	 	BE	3	7	37	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	30	 	 	 	 	N	2	2	 	 	0.7721	4	34
BE	112	7365	1	21	3	2006	22	F	1	7	7	15	 	BE	5	16	24	48	49	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Y	100	 	 	 	 	N	3	4	 	 	1.1636	2	113
BE	113	7366	1	27	3	2006	43	F	1	7	7	15	 	BE	3	17	48	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	N	1	1	 	 	0.87	1	12
